"","condition","worker_id","education","english_native","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"30","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",30,"BI2A00008","definitely yes",3,1996,"india"
"31","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",31,"BI2A00032","probably no",-2,2285,"india"
"32","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",32,"BI2A00013","probably yes",2,1699,"india"
"33","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",33,"BI2A00040","definitely no",-3,1616,"india"
"34","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",34,"BI2A00024","definitely yes",3,3388,"india"
"35","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",35,"BI2A00047","equally yes/no",0,3795,"india"
"36","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",36,"BI2A00019","maybe yes",1,1952,"india"
"37","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",37,"BI2A00022","probably no",-2,2051,"india"
"38","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",38,"BI2A00043","probably no",-2,3400,"india"
"39","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",39,"BI2A00020","equally yes/no",0,2303,"india"
"40","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",40,"BI2A00037","probably no",-2,3011,"india"
"41","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",41,"BI2A00016","equally yes/no",0,3005,"india"
"42","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",42,"BI2A00044","definitely no",-3,1881,"india"
"43","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",43,"BI2A00006","definitely yes",3,3166,"india"
"44","hungry","A3DFCGAXJHV1P9","college_bachDegree","no","male",63,"hinduism","A new experience.I didn't have any cue of what to expect in the coming experiment.Any way it was interesting.Thank you.",44,"BI2A00026","probably yes",2,3117,"india"
