"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comp_check","comments","trialNum","swatch","response","responseCoded","rt","country"
"20","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",20,"BI2A00005","equally yes/no",0,1152,"india"
"21","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",21,"BI2A00003","equally yes/no",0,930,"india"
"22","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",22,"BI2A00016","equally yes/no",0,2357,"india"
"23","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",23,"BI2A00020","equally yes/no",0,1733,"india"
"24","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",24,"BI2A00010","definitely no",-3,4357,"india"
"25","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",25,"BI2A00025","definitely no",-3,2599,"india"
"26","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",26,"BI2A00002","equally yes/no",0,1190,"india"
"27","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",27,"BI2A00006","equally yes/no",0,1255,"india"
"28","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",28,"BI2A00039","definitely no",-3,1376,"india"
"29","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",29,"BI2A00027","definitely no",-3,1534,"india"
"30","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",30,"BI2A00044","definitely no",-3,1118,"india"
"31","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",31,"BI2A00028","definitely no",-3,2110,"india"
"32","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",32,"BI2A00017","definitely no",-3,1958,"india"
"33","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",33,"BI2A00048","definitely no",-3,1173,"india"
"34","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",34,"BI2A00037","definitely no",-3,2524,"india"
